Hora,Nome,Visualizações,Canais
2021-04-07 23:26:03,Grand Theft Auto V,436185,986
2021-04-07 23:26:03,Minecraft,183697,992
2021-04-07 23:26:03,League of Legends,123597,989
2021-04-07 23:26:03,VALORANT,102641,971
2021-04-07 23:26:03,Call of Duty: Warzone,93204,996
2021-04-07 23:26:03,Fortnite,79657,992
2021-04-07 23:26:03,Apex Legends,65093,997
2021-04-07 23:26:03,Garena Free Fire,68876,844
2021-04-08 00:26:35,Grand Theft Auto V,376395,982
2021-04-08 00:26:35,Call of Duty: Warzone,124869,996
2021-04-08 00:26:35,League of Legends,116766,989
2021-04-08 00:26:35,VALORANT,81484,973
2021-04-08 00:26:35,Minecraft,83924,990
2021-04-08 00:26:35,Fortnite,71177,991
2021-04-08 00:26:35,Apex Legends,63650,998
2021-04-08 00:26:35,ALTF4,74787,18
2021-04-08 01:27:03,Grand Theft Auto V,245966,974
2021-04-08 01:27:03,League of Legends,108035,987
2021-04-08 01:27:03,VALORANT,96412,970
2021-04-08 01:27:03,Call of Duty: Warzone,87509,996
2021-04-08 01:27:03,Apex Legends,73037,997
2021-04-08 01:27:03,ALTF4,73735,25
2021-04-08 01:27:03,Minecraft,67077,987
2021-04-08 01:27:03,Fortnite,52130,990
2021-04-08 02:27:37,Grand Theft Auto V,180218,958
2021-04-08 02:27:37,VALORANT,93312,969
2021-04-08 02:27:37,League of Legends,90589,987
2021-04-08 02:27:37,Call of Duty: Warzone,73441,992
2021-04-08 02:27:37,Apex Legends,71151,997
2021-04-08 02:27:37,Totally Accurate Battlegrounds,65537,75
2021-04-08 02:27:37,Fortnite,57009,986
2021-04-08 02:27:37,Minecraft,48484,972
2021-04-08 03:28:06,VALORANT,136296,965
2021-04-08 03:28:06,Grand Theft Auto V,111858,922
2021-04-08 03:28:06,League of Legends,98020,985
2021-04-08 03:28:06,Fortnite,72055,986
2021-04-08 03:28:06,Call of Duty: Warzone,66055,989
2021-04-08 03:28:06,Apex Legends,65105,995
2021-04-08 03:28:06,Squad,62778,28
2021-04-08 03:28:06,Sea of Thieves,43831,300
2021-04-08 04:28:43,League of Legends,103888,976
2021-04-08 04:28:43,Grand Theft Auto V,90750,870
2021-04-08 04:28:43,VALORANT,86265,955
2021-04-08 04:28:43,Fortnite,77899,977
2021-04-08 04:28:43,Apex Legends,66473,990
2021-04-08 04:28:43,Call of Duty: Warzone,61714,978
2021-04-08 04:28:43,Sea of Thieves,40492,229
2021-04-08 04:28:43,Escape From Tarkov,40506,853
2021-04-08 05:29:12,League of Legends,127664,970
2021-04-08 05:29:12,VALORANT,84171,929
2021-04-08 05:29:12,Fortnite,81812,974
2021-04-08 05:29:12,Grand Theft Auto V,78718,825
2021-04-08 05:29:12,Call of Duty: Warzone,66808,956
2021-04-08 05:29:12,Apex Legends,61333,980
2021-04-08 05:29:12,Counter-Strike: Global Offensive,56567,785
2021-04-08 05:29:12,Escape From Tarkov,56252,765
2021-04-08 06:29:44,League of Legends,187965,969
2021-04-08 06:29:44,Fortnite,81789,977
2021-04-08 06:29:44,Grand Theft Auto V,75558,820
2021-04-08 06:29:44,Apex Legends,74171,973
2021-04-08 06:29:44,Call of Duty: Warzone,73917,950
2021-04-08 06:29:44,Counter-Strike: Global Offensive,64925,819
2021-04-08 06:29:44,Escape From Tarkov,64707,706
2021-04-08 06:29:44,Dota 2,54043,674
2021-04-08 07:30:16,League of Legends,216888,976
2021-04-08 07:30:16,Fortnite,76039,976
2021-04-08 07:30:16,Call of Duty: Warzone,78821,933
2021-04-08 07:30:16,Apex Legends,77777,966
2021-04-08 07:30:16,Counter-Strike: Global Offensive,75737,848
2021-04-08 07:30:16,Grand Theft Auto V,73817,823
2021-04-08 07:30:16,Escape From Tarkov,71197,742
2021-04-08 07:30:16,VALORANT,56872,913
2021-04-08 08:30:48,League of Legends,264020,979
2021-04-08 08:30:48,Apex Legends,124841,973
2021-04-08 08:30:48,Fortnite,87566,977
2021-04-08 08:30:48,Call of Duty: Warzone,85047,925
2021-04-08 08:30:48,VALORANT,82341,932
2021-04-08 08:30:48,Escape From Tarkov,75569,722
2021-04-08 08:30:48,Grand Theft Auto V,73711,868
2021-04-08 08:30:48,Counter-Strike: Global Offensive,71672,883
2021-04-08 09:31:22,League of Legends,222880,986
2021-04-08 09:31:22,Apex Legends,122173,985
2021-04-08 09:31:22,Fortnite,100411,986
2021-04-08 09:31:22,VALORANT,84680,945
2021-04-08 09:31:22,Call of Duty: Warzone,82496,956
2021-04-08 09:31:22,Grand Theft Auto V,78952,920
2021-04-08 09:31:22,Escape From Tarkov,75324,803
2021-04-08 09:31:22,Counter-Strike: Global Offensive,69067,921
2021-04-08 10:31:56,League of Legends,227211,986
2021-04-08 10:31:56,Counter-Strike: Global Offensive,132675,944
2021-04-08 10:31:56,Apex Legends,116256,993
2021-04-08 10:31:56,Fortnite,108506,985
2021-04-08 10:31:56,Grand Theft Auto V,107247,956
2021-04-08 10:31:56,VALORANT,88428,957
2021-04-08 10:31:56,Escape From Tarkov,95729,912
2021-04-08 10:31:56,Call of Duty: Warzone,90755,972
2021-04-08 11:32:31,League of Legends,230581,990
2021-04-08 11:32:31,Counter-Strike: Global Offensive,217317,953
2021-04-08 11:32:31,Grand Theft Auto V,136734,971
2021-04-08 11:32:31,Fortnite,119631,989
2021-04-08 11:32:31,Apex Legends,121365,996
2021-04-08 11:32:31,Escape From Tarkov,122313,978
2021-04-08 11:32:31,Call of Duty: Warzone,106185,985
2021-04-08 11:32:31,VALORANT,89358,960
2021-04-08 12:33:05,Counter-Strike: Global Offensive,213940,968
2021-04-08 12:33:05,League of Legends,195287,990
2021-04-08 12:33:05,Grand Theft Auto V,172350,982
2021-04-08 12:33:05,Fortnite,132394,990
2021-04-08 12:33:05,Call of Duty: Warzone,138801,989
2021-04-08 12:33:05,Escape From Tarkov,132709,979
2021-04-08 12:33:05,VALORANT,125464,965
2021-04-08 12:33:05,Apex Legends,104139,996
2021-04-08 13:33:42,League of Legends,253284,990
2021-04-08 13:33:42,Grand Theft Auto V,195778,988
2021-04-08 13:33:42,Counter-Strike: Global Offensive,174380,976
2021-04-08 13:33:42,Call of Duty: Warzone,162177,989
2021-04-08 13:33:42,VALORANT,156715,968
2021-04-08 13:33:42,Fortnite,137308,990
2021-04-08 13:33:42,Escape From Tarkov,133511,984
2021-04-08 13:33:42,Diablo II: Resurrected,117080,45
